id	name	group	subgroup	cat	value	country
skills_Syst_2	Time Management	Skills	2	skills_Res_Mgmt	0.0068653	ITA
know_math_6	Psychology	Knowledge	2	know_math	-0.0014672	ITA
know_eng	Engineering, Mechanics and Technology	Knowledge	1	know_eng	0.0158753	ITA
skills_critical	Critical Thinking	Skills	2	skills_Basic_Process	0.0135011	ITA
ab_manip	Fine Manipulative Abilities	Abilities	1	ab_manip	-0.006832	ITA
ab_quant	Quantitative Abilities	Abilities	1	ab_quant	0.0128073	ITA
know_manu_2	Production and Processing	Knowledge	2	know_manu	0.0045911	ITA
know_math_4	Chemistry	Knowledge	2	know_math	-0.0019219	ITA
skills_act_li	Active Listening	Skills	2	skills_Basic_Cont	0.0142603	ITA
skills_Basic_Cont_3	Persuasion	Skills	2	skills_Social	0.0059524	ITA
skills_mon	Monitoring	Skills	2	skills_Basic_Process	0.006802	ITA
know_arts_1	Therapy and Counseling	Knowledge	2	know_health	-0.0001066	ITA
know_eng_2	Computers and Electronics	Knowledge	2	know_eng	0.0296585	ITA
know_law_1	Philosophy and Theology	Knowledge	2	know_arts	0.0011616	ITA
know_manu_1	Personnel and Human Resources	Knowledge	2	know_bis	0.0008668	ITA
skills_act_le	Active Learning	Skills	2	skills_Basic_Process	0.012636	ITA
skills_Basic_Cont_5	Instructing	Skills	2	skills_Social	0.008313	ITA
ab_reac_time	Reaction Time and Speed Abilities	Abilities	1	ab_reac_time	-0.0035995	ITA
skills_Complex_Pb_2	Equipment Maintenance	Skills	2	skills_Tech	0.0023894	ITA
know_com_2	Telecommunications	Knowledge	2	know_com	0.0042157	ITA
know_trans_1	Communications and Media	Knowledge	2	know_com	-0.0019362	LTU
know_math_6	Psychology	Knowledge	2	know_math	-0.0112314	LTU
skills_Basic_Process_3	Equipment Selection	Skills	2	skills_Tech	-0.0013126	LTU
know_law_2	Public Safety and Security	Knowledge	2	know_law	-0.0106198	LTU
skills_Syst_3	Management of Financial Resources	Skills	2	skills_Res_Mgmt	0.0079617	LTU
ab_verbal	Verbal Abilities	Abilities	1	ab_verbal	0.0005674	LTU
skills_mon	Monitoring	Skills	2	skills_Basic_Process	0.0003338	LTU
skills_act_le	Active Learning	Skills	2	skills_Basic_Process	0.0004916	LTU
skills_Social_3	Operation Monitoring	Skills	2	skills_Tech	0.0052961	LTU
skills_critical	Critical Thinking	Skills	2	skills_Basic_Process	0.0027665	LTU
skills_Complex_Pb_4	Repairing	Skills	2	skills_Tech	0.0000734	LTU
know_com_2	Telecommunications	Knowledge	2	know_com	-0.0014467	LTU
know_eng	Engineering, Mechanics and Technology	Knowledge	1	know_eng	-0.0066123	LTU
know_eng_4	Design	Knowledge	2	know_eng	-0.0072597	LTU
know_health_2	Medicine and Dentistry	Knowledge	2	know_health	-0.0038075	LTU
skills_Social_2	Programming	Skills	2	skills_Tech	0.005361	LTU
ab_spatial	Spatial Abilities	Abilities	1	ab_spatial	-0.0002761	LTU
skills_read_comp	Reading Comprehension	Skills	2	skills_Basic_Cont	0.0036482	LTU
skills_Basic_Process_2	Technology Design	Skills	2	skills_Tech	-0.0000584	LTU
know_eng_2	Computers and Electronics	Knowledge	2	know_eng	0.0015953	LTU
skills_Basic_Cont_4	Negotiation	Skills	2	skills_Social	0.0010334	LTU
skills_Syst_2	Time Management	Skills	2	skills_Res_Mgmt	0.0005439	LTU
know_manu_1	Personnel and Human Resources	Knowledge	2	know_bis	0.0046164	LTU
skills_Complex_Pb_1	Operation and Control	Skills	2	skills_Tech	0.0047315	LTU
know_com_1	Law and Government	Knowledge	2	know_law	0.002858	LTU
know_bis_3	Economics and Accounting	Knowledge	2	know_bis	0.0128717	LTU
know_trans	Transportation	Knowledge	1	know_trans	0.0012025	LTU
know_eng_5	Building and Construction	Knowledge	2	know_eng	-0.0124575	LTU
skills_Basic_Process_1	Operations Analysis	Skills	2	skills_Tech	0.0064313	LTU
skills_Res_Mgmt_1	Management of Material Resources	Skills	2	skills_Res_Mgmt	0.002546	LTU
skills_Complex_Pb_3	Troubleshooting	Skills	2	skills_Tech	0.0005965	LTU
ab_visual	Visual Abilities	Abilities	1	ab_visual	0.0006609	LTU
ab_manip	Fine Manipulative Abilities	Abilities	1	ab_manip	-0.0000461	LTU
know_arts_3	History and Archeology	Knowledge	2	know_arts	-0.007773	LTU
skills_Basic_Cont_6	Service Orientation	Skills	2	skills_Social	-0.0032615	LTU
know_bis_4	Sales and Marketing	Knowledge	2	know_bis	0.0092322	LTU
skills_Syst_1	Systems Evaluation	Skills	2	skills_Syst	0.0028706	LTU
know_math_1	Mechanics	Knowledge	2	know_eng	-0.0051115	LTU
skills_Basic_Cont_2	Coordination	Skills	2	skills_Social	-0.0044891	LTU
know_math_3	Physics	Knowledge	2	know_math	-0.0074759	LTU
know_health_1	Geography	Knowledge	2	know_math	-0.0047684	LTU
skills_Basic_Cont_1	Social Perceptiveness	Skills	2	skills_Social	-0.00239	LTU
know_math_5	Biology	Knowledge	2	know_math	-0.0042432	LTU
ab_mem	Memory Abilities	Abilities	1	ab_mem	-0.0005106	LTU
ab_quant	Quantitative Abilities	Abilities	1	ab_quant	0.005202	LTU
skills_Tech_1	Judgment and Decision Making	Skills	2	skills_Syst	0.0026289	LTU
ab_attent	Attentiveness	Abilities	1	ab_attent	-0.0008185	LTU
know_manu_2	Production and Processing	Knowledge	2	know_manu	0.0033834	LTU
ab_percep	Perceptual Abilities	Abilities	1	ab_percep	0.0011329	LTU
skills_Social_1	Installation	Skills	2	skills_Tech	-0.0015633	LTU
know_arts_1	Therapy and Counseling	Knowledge	2	know_health	-0.0077278	LTU
ab_flex	Flexibility, Balance and Coordination	Abilities	1	ab_flex	-0.004564	LTU
skills_writ	Writing	Skills	2	skills_Basic_Cont	0.0024357	LTU
know_math_2	Mathematics	Knowledge	2	know_math	-0.0015684	LTU
know_bis_2	Clerical	Knowledge	2	know_bis	0.0009738	LTU
skills_Tech_2	Systems Analysis	Skills	2	skills_Syst	0.0042715	LTU
know_bis_5	Customer and Personal Service	Knowledge	2	know_bis	-0.0005488	LTU
ab_strength	Physical Strength	Abilities	1	ab_strength	-0.0059024	LTU
skills_Complex_Pb_5	Quality Control Analysis	Skills	2	skills_Tech	0.0023291	LTU
know_bis_1	Administration and Management	Knowledge	2	know_bis	0.0077305	LTU
skills_act_li	Active Listening	Skills	2	skills_Basic_Cont	0.0014017	LTU
skills_learning	Learning Strategies	Skills	2	skills_Basic_Process	-0.0109297	LTU
skills_speak	Speaking	Skills	2	skills_Basic_Cont	-0.0009954	LTU
skills_Basic_Cont_5	Instructing	Skills	2	skills_Social	-0.0077712	LTU
skills_scie	Science	Skills	2	skills_Basic_Cont	-0.0007931	LTU
skills_Complex_Pb_2	Equipment Maintenance	Skills	2	skills_Tech	0.001147	LTU
ab_reac_time	Reaction Time and Speed Abilities	Abilities	1	ab_reac_time	0.0022291	LTU
ab_reason	Reasoning Abilities	Abilities	1	ab_reason	0.0005136	LTU
ab_endur	Endurance	Abilities	1	ab_endur	-0.0068243	LTU
ab_control_mov	Control Movement Abilities	Abilities	1	ab_control_mov	0.0036548	LTU
know_math_4	Chemistry	Knowledge	2	know_math	-0.0034813	LTU
skills_Res_Mgmt_2	Management of Personnel Resources	Skills	2	skills_Res_Mgmt	-0.0003997	LTU
skills_math	Mathematics	Skills	2	skills_Basic_Cont	0.0028106	LTU
know_arts_2	Fine Arts	Knowledge	2	know_arts	-0.0055335	LTU
ab_audio	Auditory and Speech Abilities	Abilities	1	ab_audio	-0.000277	LTU
skills_Basic_Cont_3	Persuasion	Skills	2	skills_Social	0.0013996	LTU
know_math_7	Sociology and Anthropology	Knowledge	2	know_math	-0.0065281	LTU
know_eng_1	Food Production	Knowledge	2	know_manu	0.0061622	LTU
know_law_1	Philosophy and Theology	Knowledge	2	know_arts	-0.0070703	LTU
know_math_4	Chemistry	Knowledge	2	know_math	0.0071677	LUX
know_trans	Transportation	Knowledge	1	know_trans	-0.0085267	LUX
skills_Complex_Pb_1	Operation and Control	Skills	2	skills_Tech	-0.0129638	LUX
know_manu_1	Personnel and Human Resources	Knowledge	2	know_bis	0.0131838	LUX
skills_Basic_Cont_2	Coordination	Skills	2	skills_Social	0.0135653	LUX
skills_Tech_2	Systems Analysis	Skills	2	skills_Syst	0.0241797	LUX
know_eng_4	Design	Knowledge	2	know_eng	0.0021106	LUX
skills_Basic_Process_2	Technology Design	Skills	2	skills_Tech	0.0048382	LUX
know_bis_1	Administration and Management	Knowledge	2	know_bis	0.01877	LUX
skills_Social_2	Programming	Skills	2	skills_Tech	0.0066036	LUX
skills_critical	Critical Thinking	Skills	2	skills_Basic_Process	0.0276098	LUX
ab_attent	Attentiveness	Abilities	1	ab_attent	0.0050212	LUX
know_bis_3	Economics and Accounting	Knowledge	2	know_bis	0.0171097	LUX
know_arts_2	Fine Arts	Knowledge	2	know_arts	0.0031619	LUX
know_eng_1	Food Production	Knowledge	2	know_manu	-0.0113785	LUX
skills_Basic_Cont_3	Persuasion	Skills	2	skills_Social	0.0141977	LUX
skills_learning	Learning Strategies	Skills	2	skills_Basic_Process	0.0222215	LUX
ab_audio	Auditory and Speech Abilities	Abilities	1	ab_audio	0.004913	LUX
know_health_1	Geography	Knowledge	2	know_math	0.0060101	LUX
skills_Basic_Process_1	Operations Analysis	Skills	2	skills_Tech	0.018981	LUX
ab_control_mov	Control Movement Abilities	Abilities	1	ab_control_mov	-0.015016	LUX
know_law_2	Public Safety and Security	Knowledge	2	know_law	-0.0030446	LUX
skills_Basic_Cont_4	Negotiation	Skills	2	skills_Social	0.013055	LUX
know_bis_4	Sales and Marketing	Knowledge	2	know_bis	0.0042843	LUX
skills_Complex_Pb_5	Quality Control Analysis	Skills	2	skills_Tech	-0.0036994	LUX
know_arts_3	History and Archeology	Knowledge	2	know_arts	0.0051617	LUX
skills_Complex_Pb_4	Repairing	Skills	2	skills_Tech	-0.0097063	LUX
know_eng	Engineering, Mechanics and Technology	Knowledge	1	know_eng	0.0052754	LUX
know_math_5	Biology	Knowledge	2	know_math	0.0218783	LUX
know_math_1	Mechanics	Knowledge	2	know_eng	-0.0138445	LUX
skills_Basic_Process_3	Equipment Selection	Skills	2	skills_Tech	-0.0057469	LUX
skills_Complex_Pb_2	Equipment Maintenance	Skills	2	skills_Tech	-0.0107732	LUX
skills_Tech_1	Judgment and Decision Making	Skills	2	skills_Syst	0.0247442	LUX
ab_verbal	Verbal Abilities	Abilities	1	ab_verbal	0.0320385	LUX
skills_Social_1	Installation	Skills	2	skills_Tech	-0.0011592	LUX
ab_strength	Physical Strength	Abilities	1	ab_strength	-0.0151899	LUX
know_math_3	Physics	Knowledge	2	know_math	0.0074952	LUX
know_bis_2	Clerical	Knowledge	2	know_bis	0.0407568	LUX
ab_quant	Quantitative Abilities	Abilities	1	ab_quant	0.0229217	LUX
know_law_1	Philosophy and Theology	Knowledge	2	know_arts	0.0134367	LUX
skills_act_li	Active Listening	Skills	2	skills_Basic_Cont	0.0281868	LUX
know_eng_2	Computers and Electronics	Knowledge	2	know_eng	0.0320495	LUX
skills_mon	Monitoring	Skills	2	skills_Basic_Process	0.0200277	LUX
skills_speak	Speaking	Skills	2	skills_Basic_Cont	0.0289886	LUX
skills_scie	Science	Skills	2	skills_Basic_Cont	0.0240324	LUX
skills_Complex_Pb_3	Troubleshooting	Skills	2	skills_Tech	-0.0083005	LUX
skills_Syst_2	Time Management	Skills	2	skills_Res_Mgmt	0.0187089	LUX
know_trans_1	Communications and Media	Knowledge	2	know_com	0.0125043	LUX
ab_visual	Visual Abilities	Abilities	1	ab_visual	-0.0013904	LUX
ab_flex	Flexibility, Balance and Coordination	Abilities	1	ab_flex	-0.0125037	LUX
ab_percep	Perceptual Abilities	Abilities	1	ab_percep	0.0112493	LUX
know_eng_5	Building and Construction	Knowledge	2	know_eng	-0.0099631	LUX
know_bis_5	Customer and Personal Service	Knowledge	2	know_bis	0.0214535	LUX
skills_read_comp	Reading Comprehension	Skills	2	skills_Basic_Cont	0.0383542	LUX
ab_reason	Reasoning Abilities	Abilities	1	ab_reason	0.0222107	LUX
know_com_1	Law and Government	Knowledge	2	know_law	0.018305	LUX
ab_endur	Endurance	Abilities	1	ab_endur	-0.017394	LUX
skills_Res_Mgmt_2	Management of Personnel Resources	Skills	2	skills_Res_Mgmt	0.0150526	LUX
skills_Syst_3	Management of Financial Resources	Skills	2	skills_Res_Mgmt	0.0084247	LUX
know_arts_1	Therapy and Counseling	Knowledge	2	know_health	0.0250911	LUX
know_health_2	Medicine and Dentistry	Knowledge	2	know_health	0.0313606	LUX
skills_Syst_1	Systems Evaluation	Skills	2	skills_Syst	0.0231319	LUX
skills_writ	Writing	Skills	2	skills_Basic_Cont	0.0341343	LUX
ab_reac_time	Reaction Time and Speed Abilities	Abilities	1	ab_reac_time	-0.0107736	LUX
know_math_6	Psychology	Knowledge	2	know_math	0.0303948	LUX
know_math_2	Mathematics	Knowledge	2	know_math	0.0261503	LUX
skills_math	Mathematics	Skills	2	skills_Basic_Cont	0.020887	LUX
skills_Res_Mgmt_1	Management of Material Resources	Skills	2	skills_Res_Mgmt	0.0064317	LUX
ab_spatial	Spatial Abilities	Abilities	1	ab_spatial	-0.0035684	LUX
skills_Basic_Cont_1	Social Perceptiveness	Skills	2	skills_Social	0.0213934	LUX
ab_mem	Memory Abilities	Abilities	1	ab_mem	0.0122721	LUX
know_manu_2	Production and Processing	Knowledge	2	know_manu	-0.0082724	LUX
know_math_7	Sociology and Anthropology	Knowledge	2	know_math	0.0193403	LUX
skills_Basic_Cont_5	Instructing	Skills	2	skills_Social	0.0205492	LUX
